Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
XXII,"22nd Century Group, Inc",2.01,$250.57M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/xxii
FAX,Aberdeen Asia-Pacific Income Fund Inc,4.19,$1.04B,1986,n/a,n/a,https://www.nasdaq.com/symbol/fax
IAF,Aberdeen Australia Equity Fund Inc,5.55,$126.22M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/iaf
AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",7.44,$377.59M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aef
FCO,"Aberdeen Global Income Fund, Inc.",8.4,$73.29M,1992,n/a,n/a,https://www.nasdaq.com/symbol/fco
ACU,Acme United Corporation.,21.5,$72.07M,1988,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acu
ATNM,"Actinium Pharmaceuticals, Inc.",0.24,$38.89M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/atnm
AE,"Adams Resources & Energy, Inc.",34.27,$144.55M,n/a,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/ae
ACY,AeroCentury Corp.,7.3,$11.28M,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/acy
UAVS,"AgEagle Aerial Systems, Inc.",0.29,$4.34M,n/a,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/uavs
AGE,"AgeX Therapeutics, Inc.",3.38,$127.19M,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/age
AIRI,Air Industries Group,1.04,$29.86M,n/a,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/airi
AXU,Alexco Resource Corp,1.18,$138.05M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/axu
ALO,Alio Gold Inc.,0.7791,$66M,2011,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/alo
AAU,"Almaden Minerals, Ltd.",0.6337,$70.8M,2015,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aau
APT,"Alpha Pro Tech, Ltd.",3.39,$45.02M,n/a,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/apt
AAMC,Altisource Asset Management Corp,12.7,$20.18M,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/aamc
AMBO,Ambow Education Holding Ltd.,3.86,$83.55M,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/ambo
DIT,AMCON Distributing Company,95.83,$56.8M,n/a,Consumer Non-Durables,Food Distributors,https://www.nasdaq.com/symbol/dit
AMS,American Shared Hospital Services,2.97,$16.97M,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/ams
USAS,Americas Silver Corporation,2.37,$185.78M,2017,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/usas
AMPE,"Ampio Pharmaceuticals, Inc.",0.405,$57.39M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ampe
ARNC^,Arconic Inc.,88.8,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/arnc^
ARMP,"Armata Pharmaceuticals, Inc.",3.99,$39.74M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/armp
AKG,Asanko Gold Inc.,0.6611,$149.28M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/akg
AINC,Ashford Inc.,28.41,$70.18M,2014,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/ainc
AUG,Auryn Resources Inc.,1.72,$162.55M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aug
AWX,Avalon Holdings Corporation,2.46,$9.53M,n/a,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/awx
ASM,Avino Silver,0.5848,$38.02M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/asm
BTG,B2Gold Corp,3.05,$3.08B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/btg
BTN,"Ballantyne Strong, Inc",3.31,$48.06M,n/a,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/btn
BKJ,"Bancorp of New Jersey, Inc",13.626,$99.38M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/bkj
BCV,Bancroft Fund Limited,22.73,$119.45M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bcv
BCV^A,Bancroft Fund Limited,26.02,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bcv^a
BHB,"Bar Harbor Bankshares, Inc.",25.75,$399.76M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/bhb
BRN,"Barnwell Industries, Inc.",1.04,$8.61M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/brn
BGSF,BG Staffing Inc,18.46,$188.84M,n/a,Technology,Professional Services,https://www.nasdaq.com/symbol/bgsf
BIOX,Bioceres Crop Solutions Corp.,5.47,$197.58M,2018,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/biox
BIOX.WS,Bioceres Crop Solutions Corp.,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/biox.ws
BPMX,BioPharmX Corporation,0.568,$6.07M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/bpmx
BTX,"BioTime, Inc.",1.03,$154.13M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/btx
BGI,Birks Group Inc.,1.03,$18.5M,n/a,Consumer Services,Consumer Specialties,https://www.nasdaq.com/symbol/bgi
BKTI,BK Technologies Corporation,4.0853,$51.89M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/bkti
BDR,"Blonder Tongue Laboratories, Inc.",0.983,$9.43M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/bdr
BRG,"Bluerock Residential Growth REIT, Inc.",12.04,$271.32M,2014,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/brg
BRG^A,"Bluerock Residential Growth REIT, Inc.",26.28,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/brg^a
BRG^C,"Bluerock Residential Growth REIT, Inc.",25.8462,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/brg^c
BRG^D,"Bluerock Residential Growth REIT, Inc.",25.39,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/brg^d
DMF,BNY Mellon Municipal Income Inc.,8.58,$178M,1988,n/a,n/a,https://www.nasdaq.com/symbol/dmf
BWL.A,"Bowl America, Inc.",n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bwl.a
CMCL,Caledonia Mining Corporation Plc,6.0983,$65.56M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/cmcl
CEI,"Camber Energy, Inc.",0.1194,$5.49M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/cei
CANF,Can-Fite Biopharma Ltd,2.95,$9.81M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/canf
ROX,"Castle Brands, Inc.",0.48,$81.2M,2006,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/rox
YCBD,"cbdMD, Inc.",5.48,$151.91M,2017,Consumer Non-Durables,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/ycbd
CVM,Cel-Sci Corporation,8.65,$291.53M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/cvm
CET,Central Securities Corporation,30.95,$788.69M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cet
LEU,Centrus Energy Corp.,3.27,$30.93M,2014,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/leu
CHAC,Chardan Healthcare Acquisition Corp.,9.8,$85.75M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/chac
CHAC.U,Chardan Healthcare Acquisition Corp.,n/a,n/a,2018,n/a,n/a,https://www.nasdaq.com/symbol/chac.u
CHAC.WS,Chardan Healthcare Acquisition Corp.,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/chac.ws
CCF,Chase Corporation,109.17,$1.03B,n/a,Consumer Durables,Building Products,https://www.nasdaq.com/symbol/ccf
CQP,"Cheniere Energy Partners, LP",42.67,$20.65B,2007,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/cqp
LNG,"Cheniere Energy, Inc.",69.08,$17.78B,n/a,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/lng
CVR,Chicago Rivet & Machine Co.,27.3663,$26.44M,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cvr
CPHI,"China Pharma Holdings, Inc.",0.3,$13.07M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cphi
CKX,"CKX Lands, Inc.",9.875,$19.18M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ckx
CCC.WS,Clarivate Analytics Plc,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ccc.ws
GLV,Clough Global Dividend and Income Fund,11.22,$78.61M,2004,n/a,n/a,https://www.nasdaq.com/symbol/glv
GLQ,Clough Global Equity Fund,13.05,$143.89M,2005,n/a,n/a,https://www.nasdaq.com/symbol/glq
GLO,Clough Global Opportunities Fund,9.3699,$301.94M,2006,n/a,n/a,https://www.nasdaq.com/symbol/glo
COHN,Cohen & Company Inc.,4.7321,$5.76M,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/cohn
CIX,CompX International Inc.,16,$198.97M,1998,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cix
LODE,"Comstock Mining, Inc.",0.1836,$15.7M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/lode
CDOR,"Condor Hospitality Trust, Inc.",8.79,$104.78M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/cdor
CTO,Consolidated-Tomoka Land Co.,59.64,$295.25M,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/cto
MCF,Contango Oil & Gas Company,1.6,$63.79M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/mcf
CUO,Continental Materials Corporation,15.5,$26.59M,n/a,Capital Goods,Building Materials,https://www.nasdaq.com/symbol/cuo
CMT,Core Molding Technologies Inc,7.54,$61.42M,n/a,Consumer Non-Durables,Plastic Products,https://www.nasdaq.com/symbol/cmt
CVRS,"Corindus Vascular Robotics, Inc.",3.02,$624.23M,2015,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/cvrs
CRMD,CorMedix Inc.,9.27,$220.76M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/crmd
CRF,"Cornerstone Strategic Return Fund, Inc. (The)",11.6,$445.02M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/crf
CLM,"Cornerstone Strategic Value Fund, Inc.",11.85,$860.11M,1987,n/a,n/a,https://www.nasdaq.com/symbol/clm
CVU,"CPI Aerostructures, Inc.",8.02,$94.79M,n/a,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/cvu
CIK,"Credit Suisse Asset Management Income Fund, Inc.",3.16,$165.28M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cik
DHY,Credit Suisse High Yield Bond Fund,2.51,$259.73M,1998,n/a,n/a,https://www.nasdaq.com/symbol/dhy
CRHM,CRH Medical Corporation,3.04,$219.12M,2015,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/crhm
CTEK,"CynergisTek, Inc.",4.88,$47.69M,2017,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ctek
DXR,Daxor Corporation,7.98,$29.9M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/dxr
VCF,"Delaware Investments Colorado Municipal Income Fund, Inc",14.6873,$71.04M,1993,n/a,n/a,https://www.nasdaq.com/symbol/vcf
VFL,Delaware Investments Florida Insured Municipal Income Fund,13.3,$60.23M,1993,n/a,n/a,https://www.nasdaq.com/symbol/vfl
VMM,"Delaware Investments Minnesota Municipal Income Fund II, Inc.",12.86,$147.95M,1993,n/a,n/a,https://www.nasdaq.com/symbol/vmm
DLA,"Delta Apparel, Inc.",23.14,$160.49M,n/a,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/dla
DNN,Denison Mine Corp,0.5399,$318.3M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/dnn
DGSE,"DGSE Companies, Inc.",1.28,$34.46M,n/a,Consumer Services,Consumer Specialties,https://www.nasdaq.com/symbol/dgse
DSS,"Document Security Systems, Inc.",0.48,$8.64M,n/a,Consumer Durables,Containers/Packaging,https://www.nasdaq.com/symbol/dss
DPW,"DPW Holdings, Inc.",0.2304,$8.69M,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/dpw
DXF,Dunxin Financial Holdings Limited,2.17,$45.25M,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/dxf
GRF,"Eagle Capital Growth Fund, Inc.",8.02,$31.22M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/grf
EVM,Eaton Vance California Municipal Bond Fund,10.99,$274.69M,2002,n/a,n/a,https://www.nasdaq.com/symbol/evm
CEV,Eaton Vance California Municipal Income Trust,12.42,$88.6M,1999,n/a,n/a,https://www.nasdaq.com/symbol/cev
EVV,Eaton Vance Limited Duration Income Fund,12.68,$1.47B,2003,n/a,n/a,https://www.nasdaq.com/symbol/evv
EIM,Eaton Vance Municipal Bond Fund,12.42,$990.2M,2002,n/a,n/a,https://www.nasdaq.com/symbol/eim
ENX,Eaton Vance New York Municipal Bond Fund,12.05,$218.33M,2002,n/a,n/a,https://www.nasdaq.com/symbol/enx
EVY,Eaton Vance New York Municipal Income Trust,12.89,$69.63M,1999,n/a,n/a,https://www.nasdaq.com/symbol/evy
ELMD,"Electromed, Inc.",5.49,$46.16M,2011,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/elmd
ELLO,Ellomay Capital Ltd.,12.5761,$134.3M,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/ello
ECF,Ellsworth Growth and Income Fund Ltd.,10.33,$134.53M,1986,n/a,n/a,https://www.nasdaq.com/symbol/ecf
ECF^A,Ellsworth Growth and Income Fund Ltd.,25.4,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ecf^a
EMAN,eMagin Corporation,0.4605,$22.64M,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/eman
MSN,Emerson Radio Corporation,1.03,$21.67M,n/a,Consumer Non-Durables,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/msn
EMX,EMX Royalty Corporation,1.2309,$101.1M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/emx
UUUU,Energy Fuels Inc,2.96,$276.81M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/uuuu
UUUU.WS,Energy Fuels Inc,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/uuuu.ws
ENSV,ENSERVCO Corporation,0.3949,$21.45M,n/a,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/ensv
EGI,Entree Resources Ltd.,0.3311,$57.9M,2017,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/egi
ESP,Espey Mfg. & Electronics Corp.,24.75,$59.42M,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/esp
EVBN,"Evans Bancorp, Inc.",35.24,$172.09M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/evbn
EVI,"EVI Industries, Inc.",36.8,$431.89M,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/evi
EPM,"Evolution Petroleum Corporation, Inc.",6.76,$224.34M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/epm
FEN,First Trust Energy Income and Growth Fund,22.64,$452.45M,2004,n/a,n/a,https://www.nasdaq.com/symbol/fen
BDL,"Flanigan&#39;s Enterprises, Inc.",23,$42.75M,n/a,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/bdl
FSI,Flexible Solutions International Inc.,4.13,$48.47M,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/fsi
FTF,Franklin Limited Duration Income Trust,9.63,$290.24M,2003,n/a,n/a,https://www.nasdaq.com/symbol/ftf
FSP,Franklin Street Properties Corp.,7.64,$819.25M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/fsp
FRD,Friedman Industries Inc.,6.25,$43.81M,n/a,Capital Goods,Steel/Iron Ore,https://www.nasdaq.com/symbol/frd
FTNW,"FTE Networks, Inc.",1.05,$25.81M,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/ftnw
GGN,"GAMCO Global Gold, Natural Reources & Income Trust ",4.61,$628.47M,2005,n/a,n/a,https://www.nasdaq.com/symbol/ggn
GGN^B,"GAMCO Global Gold, Natural Reources & Income Trust ",24.52,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ggn^b
JOB,GEE Group Inc.,0.7653,$9.23M,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/job
GMO,"General Moly, Inc",0.3426,$41.22M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/gmo
GSB,"GlobalSCAPE, Inc.",8.82,$151.87M,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/gsb
GSAT,"Globalstar, Inc.",0.4531,$657.05M,2006,Consumer Services,Telecommunications Equipment,https://www.nasdaq.com/symbol/gsat
GLOW,"Glowpoint, Inc.",1.1,$5.6M,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/glow
GORO,Gold Resource Corporation,3.37,$210.32M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/goro
GSV,Gold Standard Ventures Corporation,1.03,$267.84M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/gsv
AUMN,Golden Minerals Company,0.31,$30.15M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aumn
GSS,"Golden Star Resources, Ltd",4.09,$445.27M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/gss
GV,Goldfield Corporation (The),2.33,$57.14M,n/a,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/gv
GDP,Goodrich Petroleum Corporation,12.16,$149.6M,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/gdp
GTE,Gran Tierra Energy Inc.,1.55,$590.51M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/gte
GPL,Great Panther Mining Limited,0.8255,$229.99M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/gpl
SIM,"Grupo Simec, S.A. de C.V.",8.32,$1.37B,1993,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/sim
HEB,"Hemispherx BioPharma, Inc.",4.01,$8.82M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/heb
HEXO,HEXO Corp.,5.29,$1.36B,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/hexo
HLM^,Hillman Group Capital Trust,34.2795,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/hlm^
HMG,"HMG/Courtland Properties, Inc.",13.17,$13.35M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/hmg
HUSA,Houston American Energy Corporation,0.2033,$12.71M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/husa
IBIO,"iBio, Inc.",0.71,$13.99M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ibio
IBO,IBO (Listing Market - NYSE Amex Network B F),24.84,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ibo
IEC,IEC Electronics Corp.,6.15,$63.42M,n/a,Technology,Electrical Products,https://www.nasdaq.com/symbol/iec
IMH,"Impac Mortgage Holdings, Inc.",3.13,$66.3M,1997,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/imh
IMO,Imperial Oil Limited,27.39,$20.97B,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/imo
IOR,"Income Opportunity Realty Investors, Inc.",12.91,$53.81M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ior
IGC,India Globalization Capital Inc.,1.44,$56.9M,n/a,Technology,Electronic Components,https://www.nasdaq.com/symbol/igc
INFU,"InfuSystems Holdings, Inc.",4.5559,$89.76M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/infu
IHT,InnSuites Hospitality Trust,1.36,$12.68M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/iht
NSPR,InspireMD Inc.,3.5399,$4.95M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/nspr
NSPR.WS,InspireMD Inc.,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nspr.ws
NSPR.WS.B,InspireMD Inc.,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nspr.ws.b
IDN,"Intellicheck, Inc.",5.66,$89.11M,1999,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/idn
INS,Intelligent Systems Corporation,28.69,$253.93M,1992,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ins
THM,International Tower Hill Mines Ltd,0.5998,$112.23M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/thm
INTT,inTest Corporation,4.655,$49.18M,1997,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/intt
INUV,"Inuvo, Inc",0.3794,$12.36M,n/a,Consumer Services,Advertising,https://www.nasdaq.com/symbol/inuv
VKI,Invesco Advantage Municipal Income Trust II,10.99,$487.86M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vki
ISR,"IsoRay, Inc.",0.421,$28.35M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/isr
ISDR,Issuer Direct Corporation,10.9,$42.01M,n/a,Miscellaneous,Publishing,https://www.nasdaq.com/symbol/isdr
ITP,"IT Tech Packaging, Inc.",0.6857,$15.1M,n/a,Consumer Durables,Containers/Packaging,https://www.nasdaq.com/symbol/itp
KIQ,Kelso Technologies Inc,1.53,$72.17M,n/a,Capital Goods,Railroads,https://www.nasdaq.com/symbol/kiq
LTS,Ladenburg Thalmann Financial Services Inc,3.38,$502.6M,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/lts
LTS^A,Ladenburg Thalmann Financial Services Inc,24.72,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/lts^a
LTSH,Ladenburg Thalmann Financial Services Inc,25.35,n/a,2019,n/a,n/a,https://www.nasdaq.com/symbol/ltsh
LTSK,Ladenburg Thalmann Financial Services Inc,24.9783,n/a,2018,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/ltsk
LTSL,Ladenburg Thalmann Financial Services Inc,23.81,n/a,2017,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/ltsl
LTSF,Ladenburg Thalmann Financial Services Inc.,24.47,n/a,2018,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/ltsf
LGL,"LGL Group, Inc. (The)",7.96,$38.79M,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/lgl
LBY,"Libbey, Inc.",1.8,$40.1M,1993,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/lby
LLEX,"Lilis Energy, Inc.",0.6166,$56.54M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/llex
MAG,MAG Silver Corporation,10.56,$909.68M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/mag
MHH,"Mastech Digital, Inc",4.99,$54.89M,n/a,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/mhh
MTNB,"Matinas Biopharma Holdings, Inc.",0.87,$124.4M,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mtnb
MMX,Maverix Metals Inc.,4.39,$473.89M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/mmx
MNI,McClatchy Company (The),2.45,$19.42M,1988,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/mni
IPB,"Merrill Lynch & Co., Inc. 6.0518% Index Plus Trust Certificate",27.7333,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/ipb
MXC,Mexco Energy Corporation,4.11,$8.39M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/mxc
CCA,MFS California Insured Municipal Trust,11.934,$33.25M,1999,n/a,n/a,https://www.nasdaq.com/symbol/cca
MICR,"Micron Solutions, Inc.",2.6,$7.47M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/micr
MLSS,"Milestone Scientific, Inc.",0.43,$17.55M,2015,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/mlss
MRIC,"MRI Interventions, Inc.",3.9,$43.16M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mric
MYO,Myomo Inc.,0.7097,$12.13M,2017,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/myo
NNVC,"NanoViricides, Inc.",0.2432,$18.66M,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/nnvc
ATEST,NASDAQ TEST STOCK,25,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/atest
ATEST.A,NASDAQ TEST STOCK,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/atest.a
ATEST.B,NASDAQ TEST STOCK,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/atest.b
ATEST.C,NASDAQ TEST STOCK,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/atest.c
NHC,National HealthCare Corporation,80.75,$1.24B,n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/nhc
NAVB,"Navidea Biopharmaceuticals, Inc.",0.5908,$10.67M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/navb
NTIP,"Network-1 Technologies, Inc.",2.3997,$57.33M,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/ntip
NBW,Neuberger Berman California Municipal Fund Inc,13.6,$75.49M,2002,n/a,n/a,https://www.nasdaq.com/symbol/nbw
NHS,Neuberger Berman High Yield Strategies Fund,11.8799,$232.14M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nhs
NML,Neuberger Berman MLP and Energy Income Fund Inc.,7.66,$434.01M,2013,n/a,n/a,https://www.nasdaq.com/symbol/nml
NBH,Neuberger Berman Municipal Fund Inc.,14.79,$278.11M,2002,n/a,n/a,https://www.nasdaq.com/symbol/nbh
NBO,Neuberger Berman New York Municipal Fund Inc.,12.385,$62.88M,2002,n/a,n/a,https://www.nasdaq.com/symbol/nbo
NRO,"Neuberger Berman Real Estate Securities Income Fund, Inc.",5.21,$247.06M,2003,n/a,n/a,https://www.nasdaq.com/symbol/nro
GBR,"New Concept Energy, Inc",1.8672,$9.58M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/gbr
